date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:50	37552/37552	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:50%20GMT	https://laravel-admin.org/docs/en/model-grid-custom-actions	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-custom-actions.html	(from https://laravel-admin.org/docs/en)
17:22:51	21179/21179	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:51%20GMT	https://laravel-admin.org/docs/en/model-grid-export	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-export.html	(from https://laravel-admin.org/docs/en)
17:22:52	19285/19285	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:52%20GMT	https://laravel-admin.org/docs/en/model-grid-header-footer	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-header-footer.html	(from https://laravel-admin.org/docs/en)
17:22:54	16967/16967	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:53%20GMT	https://laravel-admin.org/docs/en/model-grid-init	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-init.html	(from https://laravel-admin.org/docs/en)
17:22:55	17615/17615	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:55%20GMT	https://laravel-admin.org/docs/en/model-grid-total-row	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-total-row.html	(from https://laravel-admin.org/docs/en)
17:22:55	24312/24312	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:55%20GMT	https://laravel-admin.org/docs/en/model-grid-quick-search	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-quick-search.html	(from https://laravel-admin.org/docs/en)
17:22:56	18495/18495	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:56%20GMT	https://laravel-admin.org/docs/en/model-grid-spec-selector	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-spec-selector.html	(from https://laravel-admin.org/docs/en)
17:22:57	21310/21310	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:57%20GMT	https://laravel-admin.org/docs/en/model-grid-quick-create	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-quick-create.html	(from https://laravel-admin.org/docs/en)
17:22:58	21028/21028	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:58%20GMT	https://laravel-admin.org/docs/en/model-grid-custom-tools	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-custom-tools.html	(from https://laravel-admin.org/docs/en)
17:22:58	16495/16495	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:58%20GMT	https://laravel-admin.org/docs/en/model-grid-hotkeys	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-hotkeys.html	(from https://laravel-admin.org/docs/en)
17:22:59	20111/20111	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:22:59%20GMT	https://laravel-admin.org/docs/en/model-grid-soft-deletes	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-grid-soft-deletes.html	(from https://laravel-admin.org/docs/en)
17:23:00	20144/20144	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:00%20GMT	https://laravel-admin.org/docs/en/model-form	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form.html	(from https://laravel-admin.org/docs/en)
17:23:01	45000/45000	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:01%20GMT	https://laravel-admin.org/docs/en/model-form-fields	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-fields.html	(from https://laravel-admin.org/docs/en)
17:23:01	26560/26560	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:01%20GMT	https://laravel-admin.org/docs/en/model-form-upload	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-upload.html	(from https://laravel-admin.org/docs/en)
17:23:02	20536/20536	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:02%20GMT	https://laravel-admin.org/docs/en/model-form-json-fields	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-json-fields.html	(from https://laravel-admin.org/docs/en)
17:23:04	31799/31799	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:03%20GMT	https://laravel-admin.org/docs/en/model-form-relationships	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-relationships.html	(from https://laravel-admin.org/docs/en)
17:23:05	19920/19920	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:05%20GMT	https://laravel-admin.org/docs/en/model-form-linkage	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-linkage.html	(from https://laravel-admin.org/docs/en)
17:23:05	22044/22044	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:05%20GMT	https://laravel-admin.org/docs/en/model-form-field-management	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-field-management.html	(from https://laravel-admin.org/docs/en)
17:23:06	18408/18408	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:06%20GMT	https://laravel-admin.org/docs/en/model-form-validation	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-validation.html	(from https://laravel-admin.org/docs/en)
17:23:07	18102/18102	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:07%20GMT	https://laravel-admin.org/docs/en/model-form-callback	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-callback.html	(from https://laravel-admin.org/docs/en)
17:23:07	16710/16710	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:08%20GMT	https://laravel-admin.org/docs/en/model-form-init	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-init.html	(from https://laravel-admin.org/docs/en)
17:23:08	17441/17441	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:08%20GMT	https://laravel-admin.org/docs/en/model-form-layout	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-form-layout.html	(from https://laravel-admin.org/docs/en)
17:23:09	20249/20249	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:09%20GMT	https://laravel-admin.org/docs/en/model-show	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-show.html	(from https://laravel-admin.org/docs/en)
17:23:10	20243/20243	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:10%20GMT	https://laravel-admin.org/docs/en/model-show-fields	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-show-fields.html	(from https://laravel-admin.org/docs/en)
17:23:11	19340/19340	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:11%20GMT	https://laravel-admin.org/docs/en/model-show-relationship	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-show-relationship.html	(from https://laravel-admin.org/docs/en)
17:23:11	17775/17775	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:11%20GMT	https://laravel-admin.org/docs/en/model-show-extension	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-show-extension.html	(from https://laravel-admin.org/docs/en)
17:23:12	19392/19392	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:12%20GMT	https://laravel-admin.org/docs/en/model-tree	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/model-tree.html	(from https://laravel-admin.org/docs/en)
17:23:13	24495/24495	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:13%20GMT	https://laravel-admin.org/docs/en/data-form	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/data-form.html	(from https://laravel-admin.org/docs/en)
17:23:14	32349/32349	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:14%20GMT	https://laravel-admin.org/docs/en/extension-development	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/extension-development.html	(from https://laravel-admin.org/docs/en)
17:23:15	19359/19359	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:15%20GMT	https://laravel-admin.org/docs/en/extension-helpers	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/extension-helpers.html	(from https://laravel-admin.org/docs/en)
17:23:16	17495/17495	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:16%20GMT	https://laravel-admin.org/docs/en/extension-media-manager	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/extension-media-manager.html	(from https://laravel-admin.org/docs/en)
17:23:17	18753/18753	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:17%20GMT	https://laravel-admin.org/docs/en/extension-api-tester	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/extension-api-tester.html	(from https://laravel-admin.org/docs/en)
17:23:18	17280/17280	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:18%20GMT	https://laravel-admin.org/docs/en/extension-config	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/extension-config.html	(from https://laravel-admin.org/docs/en)
17:23:20	17126/17126	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:19%20GMT	https://laravel-admin.org/docs/en/extension-scheduling	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/extension-scheduling.html	(from https://laravel-admin.org/docs/en)
17:23:21	20655/20655	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:20%20GMT	https://laravel-admin.org/docs/en/commands	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/commands.html	(from https://laravel-admin.org/docs/en)
17:23:22	17999/17999	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:22%20GMT	https://laravel-admin.org/docs/en/content-message	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/content-message.html	(from https://laravel-admin.org/docs/en)
17:23:23	21770/21770	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:23%20GMT	https://laravel-admin.org/docs/en/widgets	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/widgets.html	(from https://laravel-admin.org/docs/en)
17:23:24	22047/22047	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:23%20GMT	https://laravel-admin.org/docs/en/frontend	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/frontend.html	(from https://laravel-admin.org/docs/en)
17:23:25	22070/22070	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:25%20GMT	https://laravel-admin.org/docs/en/permission	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/permission.html	(from https://laravel-admin.org/docs/en)
17:23:26	19105/19105	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:26%20GMT	https://laravel-admin.org/docs/en/custom-authentication	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/custom-authentication.html	(from https://laravel-admin.org/docs/en)
17:23:27	20875/20875	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:27%20GMT	https://laravel-admin.org/docs/en/custom-navbar	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/custom-navbar.html	(from https://laravel-admin.org/docs/en)
17:23:29	18227/18227	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:28%20GMT	https://laravel-admin.org/docs/en/custom-chart	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/custom-chart.html	(from https://laravel-admin.org/docs/en)
17:23:29	10263/10263	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2023%20Jan%202024%2011:23:29%20GMT	https://laravel-admin.org/docs/en/changelog	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/en/changelog	(from https://laravel-admin.org/docs/en)
17:23:32	33269/33269	---MCZ	200	added ('OK')	application/javascript	etag:W/%22833ee089dda24bcfd9cfb681b8293106%22	https://cdn.carbonads.com/carbon.js?serve=CK7DT53L&placement=laraveladminorg	D:/laravel%20Admin%20docs/laravel%20Admin/cdn.carbonads.com/carbonafe5.js	(from https://laravel-admin.org/docs/en)
17:23:34	756/756	---MCZ	200	added ('OK')	image/svg+xml	date:Tue,%2023%20Jan%202024%2011:23:34%20GMT	https://scrutinizer-ci.com/g/z-song/laravel-admin/badges/quality-score.png?b=master	D:/laravel%20Admin%20docs/laravel%20Admin/scrutinizer-ci.com/g/z-song/laravel-admin/badges/quality-score7fb3.svg	(from https://laravel-admin.org/docs/en)
17:23:36	420780/420780	---M--	200	added ('OK')	image/jpeg	etag:%22d65d92060f14a7b073e82fbecbdbb452%22	https://cloud.githubusercontent.com/assets/1479100/19625297/3b3deb64-9947-11e6-807c-cffa999004be.jpg	D:/laravel%20Admin%20docs/laravel%20Admin/cloud.githubusercontent.com/assets/1479100/19625297/3b3deb64-9947-11e6-807c-cffa999004be.jpg	(from https://laravel-admin.org/docs/en)
17:23:38	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	D:/laravel%20Admin%20docs/laravel%20Admin/www.google-analytics.com/analytics.js	(from https://laravel-admin.org/docs/en)
17:23:40	175199/175199	---M-Z	200	added ('OK')	application/javascript	etag:W/%222ac5f-GvM9Pc1KzcsvOcvD14hfKmjz42o%22	https://cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.js	D:/laravel%20Admin%20docs/laravel%20Admin/cdn.jsdelivr.net/npm/docsearch.js@2/dist/cdn/docsearch.min.js	(from https://laravel-admin.org/docs/en)
17:23:41	80698/80698	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ec44467-13b3a%22	https://laravel-admin.org/vendor/docs/plugins/bootstrap/js/bootstrap.bundle.min.js	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/bootstrap/js/bootstrap.bundle.min.js	(from https://laravel-admin.org/docs/en)
17:23:43	42383/42383	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ec44467-a58f%22	https://laravel-admin.org/vendor/docs/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js	(from https://laravel-admin.org/docs/en)
17:23:44	25193/25193	---MCZ	200	added ('OK')	application/javascript	etag:W/%225ec44467-6269%22	https://laravel-admin.org/vendor/docs/js/adminlte.min.js	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/js/adminlte.min.js	(from https://laravel-admin.org/docs/en)
17:23:45	25260/25260	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259208d39-62ac%22	https://laravel-admin.org/vendor/docs/plugins/jquery-pjax/jquery.pjax.js	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/jquery-pjax/jquery.pjax.js	(from https://laravel-admin.org/docs/en)
17:23:46	23890/23890	---MCZ	200	added ('OK')	application/javascript	etag:W/%225f337eef-5d52%22	https://laravel-admin.org/vendor/docs/plugins/prism/prism.js	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/plugins/prism/prism.js	(from https://laravel-admin.org/docs/en)
17:23:46	647/647	---M--	200	added ('OK')	application/javascript	etag:%225f5855f0-287%22	https://laravel-admin.org/vendor/docs/js/docs.js?id=3	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/vendor/docs/js/docsd708.js	(from https://laravel-admin.org/docs/en)
17:23:47	24673/24673	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:47%20GMT	https://laravel-admin.org/docs/zh/2.x	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/2.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:48	24690/24690	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:48%20GMT	https://laravel-admin.org/docs/zh/1.x/README	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/README.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:49	19882/19882	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:49%20GMT	https://laravel-admin.org/docs/zh/1.x/installation	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/installation.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:50	21838/21838	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:50%20GMT	https://laravel-admin.org/docs/zh/1.x/quick-start	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/quick-start.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:51	30569/30569	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:51%20GMT	https://laravel-admin.org/docs/zh/1.x/configuration	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/configuration.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:52	18425/18425	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:52%20GMT	https://laravel-admin.org/docs/zh/1.x/upgrading	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/upgrading.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:53	23512/23512	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:53%20GMT	https://laravel-admin.org/docs/zh/1.x/content-layout	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/content-layout.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:54	24317/24317	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:53%20GMT	https://laravel-admin.org/docs/zh/1.x/questions	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/questions.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
17:23:55	30048/30048	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2011:23:55%20GMT	https://laravel-admin.org/docs/zh/1.x/model-grid	D:/laravel%20Admin%20docs/laravel%20Admin/laravel-admin.org/docs/zh/1.x/model-grid.html	(from https://laravel-admin.org/docs/zh/1.x/changelog)
